# Directed graph (each unordered pair of nodes is saved once): CA-GrQc.txt 
# Collaboration network of Arxiv General Relativity category (there is an edge if authors coauthored at least one paper)
# Nodes: 5242 Edges: 28980
# FromNodeId	ToNodeId
3466	937
3466	5233
3466	8579
3466	10310
3466	15931
3466	17038
3466	18720
3466	19607
10310	1854
10310	3466
10310	4583
10310	5233
10310	9572
10310	10841
10310	13056
10310	14982
10310	16310
10310	19640
10310	23855
10310	24372
10310	24814
5052	899
5052	1796
5052	2287
5052	3096
5052	3386
5052	4472
5052	5346
5052	5740
5052	6094
5052	6376
5052	9124
5052	10235
5052	10427
5052	10597
5052	15159
5052	16148
5052	16741
5052	18235
5052	18549
5052	19297
5052	20511
5052	20595
5052	20613
5052	24371
5052	24559
5052	24731
5052	25102
5052	25271
5052	25396
5346	1658
5346	4822
5346	5052
5346	6864
5346	7689
5346	7926
5346	9124
5346	10268
5346	12971
5346	15159
5346	18600
5346	20421
5346	20886
5346	21048
5346	22393
5346	23186
5346	23214
5346	23298
5346	23945
5346	24939
15159	5052
15159	5346
15159	20421
15159	22393
19640	339
19640	624
19640	3731
19640	4743
19640	5407
19640	6610
19640	6700
19640	8045
19640	9099
19640	9639
19640	9785
19640	10310
19640	12141
19640	15184
19640	15784
19640	18719
19640	19870
19640	20532
19640	22527
19640	23576
19640	23577
19640	23649
19640	24199
19640	24293
19640	25201
10243	6774
10243	8049
10243	8053
10243	8517
10243	10235
10243	11964
10243	15538
10243	16694
10243	18648
10243	19423
10243	21012
10243	22457
10243	22691
10243	23452
18648	8517
18648	10243
18648	15784
18648	16174
16470	17822
17822	16470
14265	392
14265	2485
14265	2949
14265	3173
14265	3441
14265	3593
14265	3853
14265	3927
14265	3937
14265	3939
14265	4743
14265	5107
14265	5218
14265	5230
14265	6030
14265	7350
14265	7504
14265	7601
14265	8718
14265	9522
14265	11621
14265	12498
14265	12691
14265	15251
14265	16020
14265	16261
14265	17156
14265	17626
14265	18622
14265	19059
14265	19525
14265	19738
14265	20122
14265	20432
14265	21866
14265	22074
14265	23721
19738	8916
19738	9572
19738	13556
19738	14265
19738	14485
8612	615
8612	743
8612	2076
8612	4515
8612	5773
8612	9482
8612	10822
8612	11175
8612	11604
8612	14004
8612	15003
8612	15552
8612	15814
8612	16083
8612	17932
8612	20001
8612	20100
8612	23481
10822	8612
10822	14004
16258	1356
16258	1727
16258	2752
16258	4125
16258	6667
16258	6825
16258	8579
16258	10039
16258	10351
16258	11082
16258	14123
16258	16676
16258	21194
21194	16258
14123	2752
14123	4125
14123	6667
14123	10039
14123	10351
14123	10912
14123	14534
14123	16258
14123	17268
14123	19783
14123	20595
14123	21705
14123	22836
2710	62
2710	106
2710	260
2710	2959
2710	3677
2710	4708
2710	5172
2710	5541
2710	5794
2710	5807
2710	6575
2710	8458
2710	10601
2710	11401
2710	13026
2710	13205
2710	13659
2710	13989
2710	14007
2710	14009
2710	14599
2710	15301
2710	16148
2710	18757
2710	20934
2710	21543
2710	22184
2710	23647
2710	23708
2710	25916
2710	26023
2710	26051
2710	26100
18757	214
18757	2710
18757	5172
18757	5435
18757	6512
18757	10590
18757	16148
18757	23559
16148	62
16148	899
16148	1765
16148	2710
16148	3032
16148	5052
16148	5302
16148	7383
16148	7442
16148	7768
16148	13276
16148	17266
16148	18757
16148	22184
16148	22415
16148	23708
16148	24371
16148	24559
10794	7050
10794	25850
7050	10113
7050	10657
7050	10794
7050	12130
7050	17172
7050	25850
4846	676
4846	824
4846	2133
4846	2654
4846	4748
4846	5672
4846	6610
4846	6700
4846	7350
4846	10549
4846	11082
4846	12928
4846	13220
4846	14419
4846	17330
4846	17439
4846	18487
4846	20850
4846	22779
4846	23382
4846	24029
4846	24293
824	676
824	2133
824	4846
